ID;Genero;Edad;Aprendo mejor leyendo lo que el maestro escribe en la pizarra;Cuando leo las instrucciones las recuerdo mejor;Entiendo mejor cuando leo las instrucciones;Aprendo mejor leyendo que escuchando a alguien;Aprendo mas leyendo libros de texto que escuchando conferencias;Cuando el profesor me dice las instrucciones entiendo mejor;Cuando alguien me dice como hacer algo en clase lo aprendo mejor;Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;Aprendo mejor en clase cuando el profesor da una conferencia;Aprendo mejor en clase cuando escucho a alguien;Prefiero aprender haciendo algo en clase;Cuando hago cosas en clase aprendo mejor;Me gusta aprender en clase haciendo experimentos;Entiendo mejor las cosas en clase cuando participo en juegos de rol;Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello
10011069;Femenino;20;3;3;2;2;2;3;4;3;3;2;2;3;2;3;5
10011070;Masculino;17;3;3;2;2;5;4;4;3;3;4;4;4;5;4;5
10011071;Masculino;21;4;4;3;4;4;3;3;4;4;4;3;4;3;3;5
10011072;Masculino;21;4;4;4;3;3;2;2;3;3;3;2;3;3;3;5
10011073;Masculino;21;3;2;2;3;4;4;4;4;5;4;3;4;4;3;5
10011074;Femenino;21;3;3;4;4;5;4;4;4;3;5;4;3;4;5;5
10011075;Femenino;20;4;4;5;4;3;3;4;5;4;4;3;4;3;4;5
10011076;Femenino;18;3;4;4;4;4;4;3;4;4;4;5;4;3;4;5
10011077;Femenino;19;3;4;4;4;5;4;4;4;3;3;3;3;2;4;5
10011078;Femenino;19;4;3;3;4;3;2;3;3;3;3;3;4;4;4;5
10011079;Femenino;19;3;2;3;3;3;2;4;3;3;3;3;4;4;3;5
10011080;Femenino;19;3;2;3;4;3;3;3;4;4;4;4;4;3;4;5
10011081;Femenino;18;4;3;4;3;3;4;4;3;4;3;3;3;5;5;5
10011082;Femenino;20;4;4;3;3;4;3;2;3;3;4;3;3;3;3;5
10011083;Masculino;20;2;4;4;4;3;3;4;3;4;3;3;3;2;3;5
10011084;Masculino;21;2;4;4;3;4;2;4;4;3;4;3;3;4;3;5
10011085;Masculino;21;2;4;4;4;4;3;3;3;2;4;2;4;4;2;5
10011086;Femenino;19;4;3;3;4;3;4;3;4;3;4;3;4;5;4;5
10011087;Femenino;18;4;4;3;3;4;4;4;3;4;4;3;4;4;4;5
10011088;Femenino;18;4;3;3;4;4;4;4;3;5;5;5;5;4;4;5
10011089;Masculino;21;3;4;3;4;3;4;3;3;4;3;4;4;3;4;5
10011090;Masculino;19;4;4;4;3;3;2;3;3;2;4;4;3;4;4;5
10011091;Femenino;20;2;2;3;3;2;4;3;3;3;3;3;3;3;3;5
10011092;Masculino;20;3;4;4;2;5;4;4;3;3;4;4;4;3;3;5
10011093;Femenino;20;1;4;4;3;4;4;3;4;4;4;4;4;2;4;5
10011094;Femenino;20;4;4;3;3;2;4;4;5;5;3;3;4;4;4;5
